sheet_id,workbook_file_id,sheet_name,visibility,used_range,print_area,named_ranges,external_links,detected_project_id,detected_customer,detected_project_name,detected_date,detected_revision,stale_template_status,stale_evidence,generator_eligibility,approved_by,approval_time,parse_status,notes
SRC-ALL-PROJECTS-FILE-F222A41B0B9B-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-F222A41B0B9B,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-C561CABD05B0-SHEET-001,SRC-ALL-PROJECTS-FILE-C561CABD05B0,已填,visible,A1:Q46,,,,1150402,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150402
SRC-ALL-PROJECTS-FILE-C561CABD05B0-SHEET-002,SRC-ALL-PROJECTS-FILE-C561CABD05B0,未填,visible,A1:Q33,,,,1150402,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150402
SRC-ALL-PROJECTS-FILE-C561CABD05B0-SHEET-003,SRC-ALL-PROJECTS-FILE-C561CABD05B0,原材料清單,visible,A1:M70,,,,,,,115/4/21,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-43A5CFBF03A2-SHEET-001,SRC-ALL-PROJECTS-FILE-43A5CFBF03A2,已填+,visible,A1:R46,,,,1150402,,,115.05.20,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150402
SRC-ALL-PROJECTS-FILE-43A5CFBF03A2-SHEET-002,SRC-ALL-PROJECTS-FILE-43A5CFBF03A2,未填,visible,A1:Q33,,,,1150402,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150402
SRC-ALL-PROJECTS-FILE-43A5CFBF03A2-SHEET-003,SRC-ALL-PROJECTS-FILE-43A5CFBF03A2,已填,visible,A1:Q46,,,,1150402,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150402
SRC-ALL-PROJECTS-FILE-43A5CFBF03A2-SHEET-004,SRC-ALL-PROJECTS-FILE-43A5CFBF03A2,原材料清單,visible,A1:M70,,,,,,,115/4/21,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-E7EF37CB170C-SHEET-001,SRC-ALL-PROJECTS-FILE-E7EF37CB170C,未填,visible,A1:Q33,,,,1150402,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150402
SRC-ALL-PROJECTS-FILE-E7EF37CB170C-SHEET-002,SRC-ALL-PROJECTS-FILE-E7EF37CB170C,原材料清單,visible,A1:M70,,,,,,,115/4/21,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-725DDC8FFFA6-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-725DDC8FFFA6,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-B3DB05969C5F-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-B3DB05969C5F,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-17E2D97701F8-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-17E2D97701F8,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-D43023B645DF-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-D43023B645DF,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-0CED7562F81B-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-0CED7562F81B,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-D94B6D5F5513-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-D94B6D5F5513,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-55D33898C21A-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-55D33898C21A,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-66E35A98E1D3-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-66E35A98E1D3,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-44DC999FE6F6-SHEET-001,SRC-ALL-PROJECTS-FILE-44DC999FE6F6,開關箱,visible,A1:G43,'開關箱'!$A$1:$G$24,,,,,,2026-04-13,,INSUFFICIENT_IDENTITY,"順大電機股份有限公司 配電盤報價材料明細表 客戶： 品名： 項次 品名規格 單位 數量 單價 總價 備註 KWH PANEL CASE:800W*1800H*350D 屋外壁掛 SUS304#2.0mm 座 1 36000 =E7*D7 銅排 式 1 500 =E8*D8 電線、銘牌、五金等另料 式 1 2000 =E9*D9 裝配工資 式 1 3500 =E10*D10 小計(未稅) =SUM(F6:F14) 本單內容依標單估算,實做實算.日後如有變更時, 雙方得依變更後數量,規格,追加減帳. 1 有效期限：15天。 廠商簽名蓋章 順大業務：賴盈豪 2 交貨時間:再議。 電話：06-5997",HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-5DC82870AC47-SHEET-001,SRC-ALL-PROJECTS-FILE-5DC82870AC47,開關箱,visible,A1:G43,'開關箱'!$A$1:$G$24,,,,,,2026-04-13,,INSUFFICIENT_IDENTITY,"順大電機股份有限公司 配電盤報價材料明細表 客戶： 品名： 項次 品名規格 單位 數量 單價 總價 備註 KWH PANEL CASE:800W*1800H*350D 屋外壁掛 SUS304#2.0mm 座 1 25451 =E7*D7 銅排 式 1 800 =E8*D8 電線、銘牌、五金等另料 式 1 2500 =E9*D9 裝配工資 式 1 4500 =E10*D10 小計(未稅) =SUM(F6:F14) 本單內容依標單估算,實做實算.日後如有變更時, 雙方得依變更後數量,規格,追加減帳. 1 有效期限：15天。 廠商簽名蓋章 順大業務：賴盈豪 2 交貨時間:再議。 電話：06-5997",HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
