台灣自來水公司第七區管理處,,,,,,,,,
資源統計表[標單],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
工程編號,WR1100701,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,,,單位﹝元﹞,第 1 頁 共 6 頁,,
,,,,,,,,,
工項代碼,工項名稱,單位,工程用量,單價,複價,人工,機具,材料,雜項
L000007100003,職業安全衛生管理員,月, 3.00 ,,,,,,
L000007100006,職業安全衛生管理員,日, 20.00 ,,,,,,
M0305045003,產品，預拌混凝土材料費，245kgf/cm2,M3        , 2.66 ,,,,,,
M0321000009,產品，鋼筋,KG, 199.18 ,,,,,,
W0127120004,工具損耗,式, 1.00 ,,,,,,
W01271B0004,零星另料,式, 1.00 ,,,,,,
z202,140kg/cm2混凝土,M3, 50.00 ,,,,,,
z203,鋼筋及加工排紮(含鋼筋),kg, 200.00 ,,,,,,
z620,工具損耗及其他,式, 1.00 ,,,,,,
<2>,其他安全衛生設施及作業費,式, 1.00 ,,,,,,
<C>,包商利潤及什費,式, 1.00 ,,,,,,
<D>,品管費,式, 1.00 ,,,,,,
<E>,承商管理及工程保險補助費,式, 1.00 ,,,,,,
<二>,物價指數調整費,全, 1.00 ,,,,,,
<貳>,營業稅,全, 1.00 ,,,,,,
,總價<總計>,, 1.00 ,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 　　　投標廠商：　　　　　　　　　　　　　　　　　　　　　　負責人：,,,,,,,,,
