台灣自來水股份有限公司第三區管理處,,,,,,,,
材料清單,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
工程名稱,新竹縣富百田社區開發供水機電工程,,,會計科目,,,,
施工地點,新竹縣,,,工程編號,WQ11031101,,,
項 次,項  目  及  說  明,單 位,數 量,單 價,複 價,,,編碼(備註)
<一>,　施工費：(發包部份),,  ,,,,,
<A>,　　施工費(項目),,  ,,,,,
<1>,　　　竹北營運所,,  ,,,,,
57,電力監視及控制設備，數據訊號突波消除器,只, 1.00 ,, 不含估價 ,,,詳圖說或規範
58,門禁偵測器,只, 2.00 , 500 ," 1,000 ",,,
59,溫控開關0~60℃可調,組, 1.00 , 400 , 400 ,,,
60,"4'~6""吸排風扇含IP44過濾網1∮ 110/220V風量≧8CMM",式, 1.00 ," 9,500 "," 9,500 ",,,
61,不銹鋼製加熱器220V 150W附可調濕度控制,組, 1.00 ," 2,700 "," 2,700 ",,,(屋外型開關箱用)
62,24Hr轉盤型時間電驛(輔助控制用),只, 1.00 ," 1,500 "," 1,500 ", 國際 ,,
63,沉水式電動抽水機(低吸型)，60≦總揚程＜70m，1500≦出水量＜2000m3/d，15≦額定功率＜25kW,台, 2.00 ,, 不含估價 ,,,詳圖說或規範
64,導線管，聚氯乙烯塑膠硬質管，E管，(標稱28mm，厚≧2.7mm),M, 24.00 ,, 不含估價 ,,,CNS 1302(含管配件、大月彎及工料)
65,導線管，聚氯乙烯塑膠硬質管，E管，(標稱52mm，厚≧3.6mm),M, 24.00 ,, 不含估價 ,,,CNS 1302(含管配件、大月彎及工料)
66,導線管，聚氯乙烯塑膠硬質管，E管，(標稱80mm，厚≧5.1mm),M, 12.00 ,, 不含估價 ,,,CNS 1302(含管配件、大月彎及工料)
67,C型鋼管夾固定組(不銹鋼製),組, 10.00 ,, 不含估價 ,,,
68,電纜（線）、控制通訊線、匯流排及色套線號端子等,式, 1.00 ," 9,000 "," 9,000 ",,,
69,接地處理R<10Ω(含接地棒、火藥熔接等),處, 3.00 ,, 不含估價 ,,,詳規範
70,接地箝制器,只, 1.00 ,, 不含估價 ,,,
71,圖控或PLC軟體設計費,工, 6.00 ,, 不含估價 ,,,詳規範
72,圖控或PLC試車及調整,工, 3.00 ,, 不含估價 ,,,詳規範
73,監控系統及通訊控制器軟體增修,工, 10.00 ,, 不含估價 ,,,詳規範
74,試車及調整費,式, 1.00 ,, 不含估價 ,,,
75,運什費,車, 1.00 ," 15,000 "," 15,000 ",,,
76,工資(含辦理用電電信線路申請手續等),工, 30.00 ,, 不含估價 ,,,
,盤內組裝工資,式, 1.00 ," 41,000 "," 41,000 ",,,
77,低壓配電盤，五金及另料(約3%),式, 1.00 ," 3,000 "," 3,000 ",,,材料部份(不含工資、試車調整及運費等)
,受水池加壓站計,,  ,,,,,
<4>,　　　富百田中繼池加壓站,,  ,,,,,
1,低壓配電盤，(電力公司電表箱，31A以上)，一般屋外型，304不銹鋼板，含箱內結線及支持礙子等,只, 1.00 ," 22,000 "," 22,000 ", 順大電機 ,,t≧2.0mmt，依台電標準，詳圖說或規範
2,低壓配電盤，控制開關，閘刀開關，3∮3W,只, 1.00 ," 1,200 "," 1,200 ", 光威 ,,200A(專業廠600V A級)
3,屋外型開關箱2700Wx2300Hx800D 不銹鋼製,座, 1.00 ," 175,000 "," 175,000 ", 順大電機 ,,(含基座等)詳圖及第163215章規範
4,低壓配電盤，比流器，150/5A，40A，40VA/CL 1.0,只        , 5.00 ," 1,700 "," 8,500 ", 巧力 , EOS33RN ,詳圖說或規範
5,軌道型歐規保險絲座(熔斷指示燈LED)，含保險絲(2A),只, 22.00 , 100 ," 2,200 ",,,#
6,低壓配電盤，盤內照明及微動開關，日光燈，T5，14W，110/220V,組, 2.00 ," 1,000 "," 2,000 ",,,
7,低壓配電盤，盤內照明及微動開關，日光燈，T5，8W，110/220V,組, 1.00 ," 1,000 "," 1,000 ",,,
8,電壓錶0～300V廣角度CLASS 1.0,只, 1.00 ," 1,000 "," 1,000 ", 勝全 , LS-110 ,詳圖說或規範
9,低壓配電盤，電壓錶，電壓切換開關(VS)，3∮3W,只, 1.00 , 500 , 500 , 山河 ,,詳圖說或規範
10,電力監視及控制設備，多功能集合式電表,只, 5.00 ,, 不含估價 ,,,詳規範
11,無熔線斷路器，3P，125AT，25kA，220V，(AC，Ics),只, 2.00 ," 4,100 "," 8,200 ", 三菱 , NF250-SV ,詳圖說或規範
12,無熔線斷路器，2P，15AT，15KA，220V，(AC，Ics),只, 4.00 ," 1,400 "," 5,600 ", 三菱 , NF63-SV ,詳圖說或規範
13,無熔線斷路器，3P，40AT，15kA，220V，(AC，Ics),只, 4.00 ," 1,600 "," 6,400 ", 三菱 , NF63-SV ,詳圖說或規範
14,漏電斷路器，3P，75AT，(Ics，15kA)，(AC，220V)，(30/100/200/500mA，0.1s),只, 4.00 ," 10,800 "," 43,200 ", 三菱 , NV125-SV ,詳圖說或規範
15,漏電斷路器，2P，15AT，(Ics，15kA)，(AC，110/220V)，(30mA，0.1s),只, 2.00 ," 3,100 "," 6,200 ", 三菱 , NV63-HV ,詳圖說或規範
16,CP，2P，3A，1kA，110/220V，(AC，Ics),只, 6.00 , 500 ," 3,000 ", hager , MY-2 ,#詳圖說或規範
17,電力監視及控制設備，電源（並聯型）用突波消除器(≧50KA),只, 1.00 ,, 不含估價 ,,,詳圖說或規範
18,電力監視及控制設備，電源（並聯型）用突波消除器(≧40KA),只, 1.00 ,, 不含估價 ,,,詳圖說或規範
19,低壓配電盤，比流器，75/5A，40A，40VA/CL 1.0,只, 12.00 ," 1,700 "," 20,400 ", 巧力 , EOS33RN ,詳圖說或規範
20,電流錶0～75A 廣角度CLASS1.0 3∮3W,只, 4.00 ," 1,000 "," 4,000 ", 勝全 , LS-110 ,詳圖說或規範
21,低壓配電盤，電流錶，電流切換開關(AS)，3∮3W,只, 4.00 , 500 ," 2,000 ", 山河 ,,#詳圖說或規範
22,電力監視及控制設備，電驛，SE,只, 4.00 ," 3,200 "," 12,800 ", OMRON , SE-K2N ,馬達保護電驛
23,靜態切換開關，3∮ ≧30A  220V電容器專用,只, 4.00 ," 11,500 "," 46,000 ", 中大 , SCR-85 ,
24,低壓電容器組(附放電電阻)，3∮，10KVAR，≧275V(防爆型，),只, 4.00 ," 8,500 "," 34,000 ", 中大 , CFP2810 ,詳圖說或規範
,低壓串接電抗器)，3∮，0.6KVAR，≧275V,只, 4.00 ," 5,800 "," 23,200 ", 中大 ,,詳圖說或規範
25,電磁接觸器AC3，220V，≧80A,只, 4.00 ," 3,200 "," 12,800 ", 富士 , SC-N4 ,#詳圖說或規範
26,緩衝啟動器，3ψ220V，≧15kW,只, 4.00 ,, 不含估價 ,,,詳圖說或規範
