project_id,normalized_project_id,source_root_relative_path,project_family,project_family_source,revision_family,duplicate_family,year_prefix,workbook_candidate_count,candidate_permitted_input_count,strict_permitted_input_count,target_reference_file_candidate_count,inventory_v1_has_all_three_completed_targets,onedrive_availability,current_cohort,development_eligibility,exclusion_reasons,previous_screening_status,previous_bundle_status,current_source_hash_status,generator_candidate_status
1120906,1120906,112年度工作\112年度工作\1120906榮陳-來義文樂100T配水池\1120906生管文件,榮陳,file_index_customer,REVFAM-112-4E3B6E54E043,DUPFAM-80B95C3B77C7,112,7,7,2,1,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1120907,1120907,112年度工作\112年度工作\1120907榮陳-鳳山厝橋等增設監控設備\1120907生管文件,榮陳,file_index_customer,REVFAM-112-857439886555,DUPFAM-7EC742C7CFE3,112,7,7,2,3,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1120908,1120908,112年度工作\112年度工作\1120908 政東-板新24000清水池\1120908生管文件,政東,file_index_customer,REVFAM-112-9E1870B46F99,DUPFAM-639EB7557289,112,7,7,2,2,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1120909,1120909,112年度工作\112年度工作\1120909飛達機電-曾文淨水場擴建工程第二期工程\1120909生管文件,飛達機電,file_index_customer,REVFAM-112-266B85B19B5E,DUPFAM-7699DBBF8524,112,7,7,2,3,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1120910,1120910,112年度工作\112年度工作\1120910華格-精材實業廠房新建工程\1120910生管文件,華格,file_index_customer,REVFAM-112-EB9C9FE846C3,DUPFAM-F1EDB747F20F,112,5,5,1,1,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1120911,1120911,112年度工作\112年度工作\1120911核陽-隔離箱製作及零星工程\1120911生管文件,核陽,file_index_customer,REVFAM-112-45BBF5D7E5DF,DUPFAM-8EE00AD831F7,112,3,3,0,1,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1120912,1120912,112年度工作\112年度工作\1120912宗正-中山路6號廠房整理,宗正,file_index_customer,REVFAM-112-57F61EF22614,DUPFAM-9BDC55728582,112,1,1,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1121001,1121001,112年度工作\112年度工作\1121001西富-聯電P4零星工程\1121001生管文件,西富,file_index_customer,REVFAM-112-B9D3ADA00DDC,DUPFAM-F043D4AB9B2F,112,3,3,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1121002,1121002,112年度工作\112年度工作\1121002宇博-竹崎鄉金獅村供水\1121002 生管文件,宇博,file_index_customer,REVFAM-112-9037BD59D9E1,DUPFAM-284D9BE766BF,112,7,7,2,2,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1121003,1121003,112年度工作\112年度工作\1121003宇博-台水名牌,宇博,file_index_customer,REVFAM-112-80F3DC6B4C5B,DUPFAM-F4F21B1E68B2,112,3,3,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1121004,1121004,112年度工作\112年度工作\1121004昶源-台水名牌,昶源,file_index_customer,REVFAM-112-72172F5AF210,DUPFAM-12370E8D9F94,112,2,2,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1121005,1121005,112年度工作\112年度工作\1121005榮陳-苑裡鎮蕉埔里供水機電\1121005 生管文件,榮陳,file_index_customer,REVFAM-112-715C71D1EAED,DUPFAM-75A4832304A8,112,7,7,2,4,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
